Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,251,888,0
17,17,247,884,0
33,17,381,898,0
50,17,488,880,0
67,17,502,908,0
83,17,518,893,0
100,17,521,890,0
116,17,519,889,0
133,17,520,895,0
150,17,515,894,0
166,17,512,888,0
183,17,507,905,0
200,17,513,893,0
216,17,515,896,0
233,17,446,894,0
250,17,511,936,0
266,17,510,892,0
283,17,514,885,0
299,17,509,897,0
316,17,516,889,0
333,17,512,879,0
349,17,516,904,0
366,17,518,895,0
383,17,521,880,0
399,17,512,895,0
416,17,509,901,0
433,17,519,896,0
449,17,513,899,0
466,17,514,896,0
482,17,518,891,0
499,17,506,896,0
516,17,521,890,0
532,17,518,889,0
549,17,525,890,0
566,17,513,896,0
582,17,514,877,0
599,17,519,893,0
615,17,515,884,0
632,17,509,896,0
649,17,517,892,0
665,17,510,899,0
682,17,514,891,0
699,17,512,878,0
715,17,507,900,0
732,17,508,882,0
749,17,512,894,0
765,17,512,889,0
782,17,510,884,0
798,17,511,888,0
815,17,511,888,0
832,17,512,888,0
848,17,513,885,0
865,17,514,883,0
882,17,507,890,0
898,17,509,882,0
915,17,514,884,0
932,17,510,874,0
948,17,511,887,0
965,17,512,878,0
981,17,506,876,0
998,17,509,879,0
1015,17,503,873,0
1031,17,509,881,0
1048,17,508,882,0
1065,17,512,884,0
1081,17,507,875,0
1098,17,510,885,0
1115,17,509,864,0
1131,17,515,879,0
1148,17,511,887,0
1164,17,511,859,0
1181,17,509,891,0
1198,17,522,871,0
1214,17,673,874,0
1231,17,775,789,0
1248,17,864,860,0
1264,17,1134,882,0
1281,17,1180,958,0
1314,33,1049,916,0
1331,17,991,894,0
1347,17,1120,823,0
1364,17,1112,851,0
1381,17,1092,887,0
1397,17,1105,861,0
1414,17,1115,838,0
1431,17,1095,861,0
1447,17,1092,855,0
1464,17,1092,858,0
1481,17,1093,861,0
1497,17,1096,857,0
1514,17,1104,863,0
1530,17,1058,928,0
1547,17,1113,862,0
1564,17,977,798,0
1580,17,859,542,3
1597,17,770,518,3
1614,17,712,396,2
1630,17,724,408,2
1647,17,712,460,3
1664,17,713,464,3
1680,17,710,432,3
1697,17,719,458,3
1713,17,718,448,3
1730,17,713,454,3
1747,17,713,444,3
1763,17,715,439,3
1780,17,714,453,3
1797,17,712,453,3
1813,17,718,451,3
1830,17,725,480,3
1846,17,906,662,3
1863,17,1038,867,0
1880,17,1096,986,0
1896,17,1135,1017,0
1913,17,1139,1033,0
1930,17,1150,1036,0
1946,17,1147,1026,0
1963,17,1151,1029,0
1980,17,1090,1062,0
1996,17,1151,1033,0
2013,17,1152,1037,0
2029,17,1158,1039,0
2046,17,1153,1038,0
2063,17,1157,1032,0
2079,17,1160,1035,0
2096,17,1158,1041,0
2113,17,1156,1036,0
2129,17,1158,1033,0
2146,17,1153,1028,0
2163,17,1205,1021,0
2179,17,1194,1006,0
2196,17,1208,1007,0
2212,17,1216,1004,0
2229,17,1205,1008,0
2246,17,1205,1006,0
2262,17,1202,1004,0
2279,17,1204,1000,0
2296,17,1223,1015,0
2312,17,1208,1026,0
2329,17,1203,1003,0
2346,17,1205,1003,0
2362,17,1204,1040,0
2379,17,1090,972,0
2395,17,1144,873,0
2495,100,579,613,3
2512,17,523,452,3
2529,17,508,424,3
2545,17,498,424,3
2562,17,514,442,3
2578,17,517,408,2
2595,17,535,429,3
2612,17,533,423,3
2628,17,534,439,3
2645,17,532,431,3
2662,17,535,438,3
2678,17,538,448,3
2695,17,531,451,3
2712,17,536,448,3
2728,17,529,432,3
2745,17,518,342,4
2761,17,515,399,2
2778,17,513,352,4
