Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,649,789,0
17,17,650,809,0
33,17,723,749,3
50,17,607,832,0
67,17,647,729,3
83,17,646,734,3
100,17,652,695,3
116,17,638,781,0
133,17,644,750,3
150,17,679,792,0
166,17,821,770,0
183,17,928,778,0
200,17,981,751,3
216,17,973,762,3
233,17,981,777,0
250,17,973,772,0
266,17,983,752,3
283,17,976,745,3
299,17,976,773,0
316,17,992,784,0
333,17,981,771,0
349,17,972,769,0
366,17,978,746,3
383,17,988,777,0
399,17,977,744,3
416,17,1001,736,3
433,17,1004,773,0
449,17,1012,815,0
466,17,1002,734,3
482,17,1002,815,0
499,17,1002,767,0
516,17,1035,711,0
532,17,1010,792,0
549,17,1115,767,0
566,17,999,791,0
582,17,999,739,3
599,17,1013,772,0
615,17,1004,801,0
632,17,1008,719,3
649,17,1018,919,0
765,116,664,873,0
782,17,614,224,1
798,17,607,236,1
815,17,600,292,4
832,17,607,256,1
848,17,621,183,1
865,17,630,194,1
882,17,626,147,1
898,17,622,204,1
915,17,627,188,1
932,17,609,235,1
948,17,609,267,0
965,17,633,201,1
981,17,611,239,1
998,17,605,279,0
1015,17,610,228,1
1031,17,606,268,0
1048,17,601,278,0
1065,17,601,255,1
1081,17,653,228,1
1098,17,747,280,0
1115,17,831,224,0
1131,17,871,359,0
1148,17,902,328,0
1164,17,906,344,0
1181,17,895,340,0
1198,17,904,327,0
1214,17,916,313,0
1231,17,904,330,0
1248,17,910,338,0
1264,17,910,356,0
1281,17,909,311,0
1298,17,906,360,0
1314,17,924,323,0
1331,17,904,270,0
1347,17,886,329,0
1364,17,744,420,3
1381,17,633,297,0
1397,17,574,346,4
1414,17,515,393,2
1431,17,525,236,1
1447,17,514,301,4
1464,17,502,303,4
1481,17,507,332,4
1497,17,505,300,4
1514,17,493,385,2
1530,17,499,384,2
1547,17,492,339,4
1564,17,502,350,4
1580,17,507,423,3
1597,17,504,403,2
1614,17,466,374,2
1630,17,455,386,2
1647,17,467,373,2
1664,17,470,315,4
1680,17,456,379,2
1697,17,454,383,2
1713,17,468,341,4
1730,17,465,381,2
1747,17,464,345,4
1763,17,450,356,4
1780,17,450,392,2
1797,17,459,398,2
1813,17,589,308,4
1830,17,632,284,0
1846,17,635,288,0
1863,17,633,286,0
1880,17,646,248,1
1896,17,619,280,0
1913,17,614,327,0
1930,17,623,278,0
1946,17,643,512,3
2063,116,558,123,0
