Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,516,389,2
17,17,515,392,2
33,17,522,380,2
50,17,517,375,2
67,17,512,379,2
83,17,514,391,2
100,17,514,393,2
116,17,513,387,2
133,17,515,389,2
150,17,517,395,2
166,17,511,392,2
183,17,512,394,2
200,17,517,367,2
216,17,513,392,2
233,17,514,390,2
250,17,513,384,2
266,17,516,387,2
283,17,515,401,2
299,17,515,384,2
316,17,514,394,2
333,17,512,392,2
349,17,509,403,2
366,17,511,403,2
383,17,511,394,2
399,17,513,395,2
416,17,519,390,2
433,17,510,406,2
449,17,508,397,2
466,17,511,388,2
482,17,511,379,2
499,17,507,407,2
516,17,511,402,2
532,17,508,400,2
549,17,505,403,2
566,17,507,400,2
582,17,511,395,2
599,17,509,397,2
615,17,509,392,2
632,17,508,389,2
649,17,509,395,2
665,17,505,398,2
682,17,504,418,5
699,17,509,391,2
715,17,508,406,2
732,17,503,406,2
749,17,509,385,2
765,17,540,402,2
782,17,560,411,2
798,17,566,408,2
815,17,573,403,2
832,17,571,418,3
848,17,573,416,2
865,17,572,414,2
882,17,574,417,2
898,17,578,391,2
915,17,571,404,2
932,17,571,400,2
948,17,573,421,3
965,17,572,405,2
981,17,570,408,2
998,17,566,419,5
1015,17,572,413,2
1031,17,570,405,2
1048,17,575,405,2
1065,17,573,419,3
1081,17,574,400,2
1098,17,571,427,3
1115,17,572,397,2
1131,17,572,421,3
1148,17,572,413,2
1164,17,570,419,3
1181,17,568,409,2
1198,17,575,399,2
1214,17,567,410,2
1231,17,568,418,5
1248,17,559,434,3
1264,17,546,435,3
1281,17,479,430,3
1298,17,447,442,3
1314,17,452,447,3
1331,17,456,428,3
1347,17,464,411,2
1364,17,465,420,3
1381,17,464,429,3
1397,17,465,412,2
1414,17,461,407,2
1431,17,449,431,3
1447,17,430,425,3
1464,17,426,416,2
1481,17,428,415,2
1497,17,427,406,2
1514,17,430,403,2
1530,17,437,400,2
1547,17,427,410,2
1564,17,436,398,2
1580,17,436,407,2
1597,17,434,405,2
1614,17,430,401,2
1630,17,436,393,2
1647,17,427,394,2
1664,17,425,412,2
1680,17,429,390,2
1697,17,434,386,2
1713,17,430,386,2
1730,17,427,404,2
1747,17,438,394,2
1763,17,421,394,2
1780,17,426,391,2
1797,17,382,323,0
1813,17,435,393,2
1830,17,379,322,0
1846,17,427,383,2
1863,17,441,390,2
1880,17,429,394,2
1896,17,439,397,2
1913,17,379,315,0
1930,17,401,321,0
1946,17,525,365,2
1963,17,579,363,4
1980,17,579,337,4
