Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,535,629,3
17,17,530,648,3
33,17,547,445,3
50,17,535,401,2
67,17,549,428,3
83,17,539,418,5
100,17,548,434,3
116,17,549,418,5
133,17,543,434,3
150,17,546,424,3
166,17,542,416,2
183,17,545,418,5
200,17,542,422,3
216,17,560,435,3
233,17,561,410,2
250,17,547,418,5
266,17,558,427,3
283,17,552,431,3
299,17,554,422,3
316,17,561,430,3
333,17,557,417,5
349,17,548,442,3
366,17,563,447,3
383,17,555,421,5
399,17,552,418,5
416,17,555,451,3
433,17,548,452,3
449,17,548,448,3
466,17,548,444,3
482,17,565,438,3
499,17,567,420,5
516,17,557,446,3
532,17,550,437,3
549,17,547,443,3
566,17,556,459,3
582,17,559,463,3
599,17,560,450,3
615,17,547,426,3
632,17,551,454,3
649,17,507,432,3
665,17,509,431,3
682,17,505,442,3
699,17,507,455,3
715,17,520,433,3
732,17,507,434,3
749,17,504,421,5
765,17,500,437,3
782,17,502,442,3
798,17,513,441,3
815,17,501,418,5
832,17,504,399,2
848,17,509,451,3
865,17,506,428,3
882,17,498,441,3
898,17,502,454,3
915,17,501,454,3
932,17,502,457,3
948,17,496,431,3
965,17,487,426,3
981,17,458,468,3
998,17,459,411,2
1015,17,462,839,0
1031,17,499,590,3
1347,316,649,1060,0
1364,17,469,754,3
1381,17,550,421,5
1397,17,524,370,2
1414,17,486,513,3
1431,17,534,489,3
1447,17,499,438,3
1464,17,495,385,2
1481,17,493,389,2
1497,17,509,370,2
1514,17,496,396,2
1530,17,503,377,2
1547,17,508,373,2
1564,17,519,393,2
1580,17,508,387,2
1597,17,514,375,2
1614,17,516,387,2
1630,17,517,385,2
1647,17,519,404,2
1664,17,521,387,2
1680,17,519,384,2
1697,17,528,389,2
1713,17,525,396,2
1730,17,531,375,2
1747,17,585,338,4
1763,17,621,352,0
1780,17,620,348,0
1797,17,623,331,0
1813,17,622,335,0
1830,17,621,354,0
1846,17,621,350,0
1863,17,626,325,0
1880,17,628,316,0
1896,17,622,302,0
1913,17,635,316,0
1930,17,635,309,0
1946,17,638,320,0
1963,17,621,322,0
1980,17,637,306,0
1996,17,631,302,0
2013,17,635,298,0
2029,17,634,271,0
2046,17,635,280,0
2063,17,631,301,0
2079,17,568,339,4
2096,17,536,294,4
2113,17,542,327,4
2129,17,539,318,4
2146,17,546,277,0
2163,17,544,319,4
2179,17,541,311,4
2196,17,534,297,4
2212,17,539,301,4
2229,17,528,304,4
2246,17,534,306,4
2262,17,535,288,4
2279,17,537,286,0
2296,17,536,306,4
2312,17,541,285,0
2329,17,530,310,4
2346,17,532,311,4
2362,17,533,296,4
2379,17,537,312,4
2395,17,533,327,4
2412,17,535,308,4
2429,17,537,308,4
2445,17,543,317,4
2462,17,539,298,4
2479,17,539,304,4
2495,17,531,311,4
2512,17,533,307,4
2529,17,531,318,4
2545,17,538,306,4
2562,17,526,316,4
2578,17,558,292,4
2595,17,570,310,4
2612,17,568,300,4
2628,17,573,274,0
2645,17,568,302,4
2662,17,565,305,4
2678,17,563,296,4
2695,17,564,288,4
2712,17,569,311,4
2728,17,565,323,4
2745,17,561,320,4
2761,17,561,322,4
2778,17,561,337,4
2795,17,560,310,4
2811,17,561,296,4
2828,17,566,324,4
2845,17,560,321,4
2861,17,562,318,4
2878,17,564,331,4
2894,17,561,310,4
2911,17,565,325,4
2928,17,558,346,4
2944,17,558,321,4
2961,17,560,329,4
2978,17,546,332,4
2994,17,560,345,4
3011,17,557,362,4
3028,17,546,339,4
3044,17,540,351,4
3061,17,540,384,2
3077,17,541,311,4
3094,17,537,339,4
3111,17,538,345,4
3127,17,537,345,4
3144,17,536,327,4
3161,17,539,333,4
3177,17,530,340,4
3194,17,531,352,4
3211,17,543,341,4
3227,17,540,366,2
3244,17,544,336,4
3260,17,538,330,4
3277,17,531,355,4
3294,17,539,342,4
3310,17,540,355,4
3327,17,532,347,4
3344,17,533,338,4
3360,17,539,363,4
3377,17,539,353,4
