Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,776,845,0
17,17,788,842,0
33,17,789,837,0
50,17,781,843,0
67,17,788,844,0
83,17,783,840,0
100,17,794,836,0
116,17,793,841,0
133,17,787,841,0
150,17,784,845,0
166,17,782,842,0
183,17,789,840,0
200,17,794,830,0
383,183,1076,890,0
399,17,1022,824,0
416,17,1046,559,0
433,17,1047,562,0
449,17,1043,672,0
466,17,1043,670,0
482,17,1045,672,0
499,17,1038,678,0
516,17,1038,669,0
532,17,1064,687,0
549,17,1046,685,0
566,17,1060,675,0
582,17,1055,684,0
599,17,1051,681,0
615,17,1059,675,0
632,17,1055,689,0
649,17,1051,684,0
665,17,1042,685,0
682,17,1053,684,0
699,17,1056,679,0
715,17,1050,680,0
732,17,1048,671,0
749,17,1046,677,0
765,17,1039,678,0
782,17,1044,680,0
798,17,1031,857,0
1264,466,800,97,0
1281,17,646,349,0
1298,17,542,410,2
1314,17,542,427,3
1331,17,539,440,3
1347,17,534,431,3
1364,17,537,442,3
1381,17,537,442,3
1397,17,536,426,3
1414,17,539,441,3
1431,17,540,442,3
1447,17,539,444,3
1464,17,492,414,2
1481,17,482,399,2
1497,17,478,388,2
1514,17,473,391,2
1530,17,476,412,2
1547,17,483,397,2
1564,17,472,397,2
1580,17,474,393,2
1597,17,472,390,2
1614,17,475,391,2
1630,17,478,403,2
1647,17,476,401,2
1664,17,473,396,2
1680,17,476,392,2
1697,17,462,399,2
1713,17,440,412,2
1730,17,441,389,2
1747,17,450,393,2
1763,17,436,409,2
1780,17,448,406,2
1797,17,442,389,2
1813,17,441,401,2
1830,17,451,400,2
1846,17,443,402,2
1863,17,444,405,2
1880,17,443,397,2
1896,17,450,406,2
1913,17,444,397,2
1930,17,445,399,2
1946,17,472,383,2
1963,17,574,345,4
1980,17,611,340,4
1996,17,622,316,0
2013,17,625,335,0
2029,17,619,346,0
2046,17,571,337,4
2063,17,574,356,4
2079,17,565,331,4
2096,17,566,351,4
2113,17,571,353,4
2129,17,572,346,4
2146,17,569,352,4
2163,17,578,346,4
2179,17,609,384,2
2196,17,614,352,0
2212,17,613,355,0
2229,17,613,370,2
2246,17,616,352,0
2262,17,614,363,0
2279,17,624,337,0
2296,17,560,334,4
2312,17,539,353,4
2329,17,540,352,4
2346,17,543,334,4
2362,17,541,352,4
2379,17,539,358,4
2395,17,540,371,2
2412,17,538,359,4
2429,17,541,340,4
2445,17,540,354,4
2462,17,538,366,2
2562,100,490,568,3
2578,17,537,311,4
2595,17,535,372,2
2612,17,537,349,4
2628,17,538,379,2
2645,17,529,361,4
2662,17,531,368,2
2678,17,538,378,2
2695,17,532,336,4
2712,17,534,340,4
2728,17,534,375,2
2745,17,542,344,4
2761,17,537,369,2
2778,17,539,374,2
2795,17,542,360,4
2811,17,540,349,4
2828,17,535,385,2
2845,17,534,374,2
2861,17,541,372,2
2878,17,535,355,4
2894,17,542,379,2
3077,183,529,517,3
3094,17,572,295,4
3111,17,580,359,4
3127,17,573,363,4
3144,17,577,363,4
3161,17,576,358,4
3177,17,585,339,4
3194,17,579,344,4
3211,17,576,347,4
3227,17,583,331,4
3244,17,585,351,4
3260,17,581,361,4
3277,17,573,364,4
3294,17,523,370,2
3310,17,495,363,4
3327,17,502,363,4
3344,17,496,360,4
3360,17,504,368,2
3377,17,498,363,4
3394,17,496,363,4
3410,17,508,349,4
3427,17,501,359,4
3443,17,504,370,2
3460,17,498,373,2
3477,17,509,359,4
3493,17,499,360,4
3510,17,502,354,4
3527,17,503,362,4
3543,17,500,345,4
3560,17,499,371,2
