Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,708,182,1
17,17,717,228,1
33,17,716,180,1
50,17,705,216,1
67,17,706,210,1
83,17,713,219,1
100,17,707,216,1
116,17,700,210,1
133,17,701,228,1
150,17,708,257,1
166,17,647,367,2
183,17,573,497,3
200,17,497,628,3
216,17,482,745,3
233,17,465,725,3
250,17,457,754,3
266,17,469,702,3
283,17,444,709,3
299,17,465,721,3
316,17,491,720,3
333,17,495,718,3
349,17,492,730,3
366,17,495,730,3
383,17,496,739,3
399,17,483,732,3
416,17,491,729,3
433,17,512,707,3
449,17,491,734,3
466,17,483,719,3
482,17,511,639,3
499,17,520,573,3
516,17,558,445,3
532,17,585,372,2
549,17,604,230,1
566,17,617,191,1
582,17,601,253,1
599,17,619,199,1
615,17,620,227,1
632,17,623,200,1
649,17,622,201,1
665,17,607,228,1
682,17,607,252,1
699,17,604,238,1
715,17,609,229,1
732,17,608,235,1
749,17,607,251,1
765,17,610,251,1
782,17,607,254,1
798,17,613,234,1
815,17,631,195,1
832,17,674,122,0
848,17,720,85,0
948,100,788,2,0
1081,133,886,310,0
1148,67,904,259,0
1164,17,897,291,0
1331,166,815,67,0
1347,17,673,235,1
1364,17,542,323,4
1381,17,456,368,2
1397,17,474,358,4
1414,17,471,368,2
1431,17,469,401,2
1447,17,472,380,2
1464,17,476,329,4
1481,17,478,358,4
1497,17,466,360,4
1514,17,461,372,2
1530,17,467,341,4
1547,17,469,353,4
1564,17,449,347,4
1580,17,466,374,2
1597,17,475,341,4
1614,17,465,331,4
1630,17,453,339,4
1647,17,474,347,4
1664,17,468,337,4
1680,17,486,294,4
1697,17,485,298,4
1713,17,494,319,4
1730,17,492,284,0
1747,17,488,298,4
1763,17,475,275,0
1780,17,484,310,4
1797,17,490,295,4
1813,17,488,314,4
1830,17,483,306,4
1846,17,543,307,4
1863,17,602,275,0
1880,17,621,266,0
1896,17,624,269,0
1913,17,617,276,0
1930,17,625,284,0
1946,17,627,266,0
1963,17,627,270,0
1980,17,628,247,1
1996,17,627,249,1
2013,17,626,250,1
2029,17,620,273,0
2046,17,621,293,0
2063,17,618,255,1
2079,17,626,262,0
2096,17,621,264,0
2113,17,612,279,0
2129,17,622,263,0
2146,17,619,286,0
2163,17,625,277,0
2179,17,625,263,0
2196,17,624,276,0
2212,17,618,266,0
2229,17,624,267,0
2246,17,574,278,0
2262,17,575,266,0
2279,17,571,267,0
2296,17,571,266,0
2312,17,566,265,0
2329,17,573,273,0
2346,17,569,284,0
2362,17,565,267,0
2379,17,573,261,0
2395,17,566,269,0
2412,17,564,312,4
2429,17,555,275,0
2445,17,567,284,0
2462,17,567,281,0
2479,17,567,276,0
2495,17,569,284,0
2512,17,575,274,0
2529,17,566,307,4
2545,17,563,279,0
2562,17,571,282,0
2578,17,569,285,0
2595,17,560,279,0
2612,17,564,291,4
2628,17,562,279,0
2645,17,563,280,0
2662,17,559,293,4
2678,17,561,292,4
2695,17,565,315,4
2712,17,566,291,4
2728,17,567,303,4
2745,17,560,300,4
2761,17,566,268,0
2778,17,576,251,1
2795,17,569,278,0
2811,17,563,280,0
2828,17,539,302,4
2845,17,551,280,0
2861,17,565,296,4
2878,17,544,340,4
2894,17,544,339,4
2911,17,554,335,4
2928,17,556,313,4
2944,17,555,317,4
2961,17,555,313,4
2978,17,554,314,4
2994,17,556,333,4
3011,17,555,317,4
3028,17,556,301,4
3044,17,553,326,4
3061,17,543,342,4
3077,17,554,347,4
3094,17,550,339,4
3111,17,547,335,4
3127,17,552,298,4
3144,17,547,329,4
3161,17,549,339,4
3177,17,548,323,4
3194,17,552,319,4
3211,17,549,325,4
3227,17,554,296,4
3244,17,551,333,4
3260,17,550,295,4
3277,17,558,326,4
3294,17,555,300,4
3310,17,542,321,4
3327,17,549,320,4
3344,17,537,353,4
3360,17,542,315,4
3377,17,543,332,4
3394,17,538,363,4
3410,17,539,312,4
3427,17,536,332,4
3443,17,543,314,4
3460,17,539,309,4
3477,17,541,356,4
3493,17,540,318,4
3510,17,544,308,4
3527,17,542,331,4
3543,17,542,308,4
3560,17,533,327,4
3577,17,531,348,4
3593,17,532,338,4
3610,17,536,322,4
3626,17,540,340,4
3643,17,525,353,4
3660,17,524,375,2
3676,17,524,360,4
3693,17,528,353,4
3710,17,531,350,4
3726,17,531,370,2
3743,17,522,332,4
3760,17,530,364,4
3776,17,534,387,2
3793,17,531,344,4
3809,17,532,375,2
3826,17,527,363,4
3843,17,523,361,4
3859,17,532,351,4
3876,17,534,344,4
3893,17,533,352,4
3909,17,535,384,2
3926,17,528,350,4
3943,17,534,342,4
3959,17,515,336,4
3976,17,511,283,0
3992,17,500,314,4
4009,17,504,299,4
4026,17,510,315,4
4042,17,511,295,4
4059,17,503,306,4
4076,17,503,323,4
4092,17,504,307,4
4109,17,506,310,4
4125,17,503,298,4
4142,17,495,328,4
4159,17,500,303,4
4175,17,498,276,0
4192,17,503,273,0
4209,17,503,289,4
4225,17,500,303,4
4242,17,502,313,4
4259,17,501,306,4
4275,17,496,315,4
4292,17,505,309,4
4308,17,498,306,4
4325,17,507,279,0
4342,17,501,325,4
4358,17,499,301,4
4375,17,504,311,4
4392,17,506,319,4
4408,17,504,322,4
4425,17,514,303,4
4442,17,506,332,4
4458,17,506,323,4
4475,17,510,310,4
4491,17,500,344,4
4508,17,503,343,4
4525,17,504,324,4
4541,17,503,340,4
4558,17,495,373,2
4575,17,504,326,4
4591,17,502,342,4
4608,17,505,334,4
4625,17,513,313,4
4641,17,510,321,4
4658,17,501,346,4
4674,17,506,351,4
4691,17,490,353,4
4708,17,502,360,4
4724,17,502,357,4
4741,17,509,338,4
4758,17,504,343,4
4774,17,502,320,4
4791,17,506,342,4
4808,17,500,346,4
4824,17,498,361,4
4841,17,503,340,4
4857,17,502,350,4
4874,17,497,354,4
4891,17,496,336,4
4907,17,507,343,4
4924,17,510,339,4
4941,17,514,354,4
4957,17,521,405,2
4974,17,527,396,2
4991,17,524,387,2
5007,17,524,402,2
5024,17,555,369,2
5040,17,524,412,2
5057,17,520,409,2
5074,17,526,395,2
5090,17,531,381,2
5107,17,528,399,2
5124,17,532,360,4
5140,17,521,424,3
5157,17,528,382,2
5174,17,533,378,2
5190,17,532,385,2
5207,17,526,408,2
5223,17,536,405,2
5240,17,542,418,5
5257,17,540,383,2
5273,17,533,434,3
5290,17,539,403,2
5307,17,535,400,2
5323,17,540,398,2
5340,17,537,402,2
5356,17,535,409,2
5373,17,544,399,2
5390,17,536,396,2
5406,17,542,394,2
5423,17,524,319,4
5440,17,492,364,4
5456,17,481,342,4
5473,17,491,354,4
5490,17,497,331,4
5506,17,502,341,4
5523,17,496,357,4
5539,17,501,309,4
5556,17,498,339,4
5573,17,496,368,2
5589,17,506,338,4
5606,17,496,336,4
5623,17,492,354,4
5639,17,502,315,4
5656,17,501,338,4
5673,17,494,353,4
5689,17,497,342,4
5706,17,494,366,2
5722,17,504,371,2
5739,17,507,323,4
5756,17,504,299,4
5772,17,506,324,4
5789,17,502,330,4
5806,17,505,311,4
5822,17,498,342,4
5839,17,504,342,4
5856,17,507,329,4
5872,17,497,333,4
5889,17,499,332,4
5905,17,499,331,4
5922,17,497,336,4
5939,17,498,337,4
5955,17,496,330,4
5972,17,498,312,4
5989,17,501,313,4
6005,17,497,332,4
6022,17,501,336,4
6039,17,501,326,4
6055,17,516,294,4
6072,17,497,361,4
6088,17,539,407,2
6105,17,539,401,2
6122,17,538,405,2
6138,17,546,392,2
6155,17,553,407,2
6172,17,547,380,2
6188,17,543,396,2
6205,17,539,401,2
6222,17,545,391,2
6238,17,543,394,2
6255,17,544,402,2
6271,17,542,351,4
6288,17,536,391,2
6305,17,545,393,2
6321,17,538,406,2
6338,17,542,375,2
6355,17,546,383,2
6371,17,537,371,2
6388,17,541,416,2
6404,17,545,373,2
6421,17,542,392,2
6438,17,550,386,2
6454,17,549,393,2
6471,17,548,385,2
6488,17,551,376,2
6504,17,549,338,4
6521,17,540,361,4
6538,17,555,316,4
6554,17,553,321,4
6571,17,550,346,4
6587,17,547,324,4
6604,17,553,327,4
6621,17,545,319,4
6637,17,551,309,4
6654,17,553,323,4
6671,17,544,343,4
6687,17,548,356,4
6704,17,548,331,4
6721,17,556,318,4
6737,17,542,363,4
6754,17,544,355,4
6770,17,542,332,4
6787,17,549,315,4
6804,17,549,352,4
6820,17,545,337,4
6837,17,548,341,4
6854,17,545,358,4
6870,17,543,341,4
6887,17,541,349,4
6904,17,553,341,4
6920,17,543,357,4
6937,17,542,331,4
6953,17,536,320,4
6970,17,542,342,4
6987,17,542,327,4
7003,17,530,344,4
7020,17,524,357,4
7037,17,536,322,4
7053,17,527,357,4
7070,17,524,374,2
7087,17,523,351,4
7103,17,521,333,4
7120,17,528,319,4
7136,17,532,351,4
7153,17,528,340,4
7170,17,528,330,4
7186,17,533,321,4
7203,17,530,307,4
7220,17,533,303,4
7236,17,527,321,4
7253,17,527,336,4
7270,17,525,333,4
7286,17,523,336,4
7303,17,523,337,4
7319,17,521,351,4
7336,17,522,359,4
7353,17,519,321,4
7369,17,526,338,4
7386,17,522,364,4
7403,17,522,328,4
7419,17,527,365,2
7436,17,525,336,4
7453,17,514,387,2
7469,17,516,387,2
7486,17,510,398,2
7502,17,505,379,2
7519,17,504,424,3
7536,17,501,374,2
7552,17,503,362,4
7569,17,511,376,2
7586,17,514,379,2
7602,17,510,354,4
7619,17,514,401,2
7635,17,503,379,2
7652,17,505,402,2
7669,17,504,392,2
7685,17,492,394,2
7702,17,525,423,3
7719,17,512,404,2
7735,17,522,393,2
7752,17,517,411,2
7769,17,515,409,2
7785,17,526,405,2
7802,17,529,403,2
7818,17,521,421,5
7835,17,530,411,2
7852,17,514,436,3
7868,17,530,399,2
7885,17,521,413,2
7902,17,522,406,2
7918,17,521,408,2
7935,17,525,392,2
7952,17,529,401,2
7968,17,526,400,2
7985,17,525,417,5
8001,17,521,388,2
8018,17,524,380,2
8035,17,534,415,2
