Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,1019,431,3
17,17,1023,434,3
33,17,1023,429,3
50,17,1027,441,0
67,17,1029,423,0
83,17,1032,431,0
100,17,1020,458,3
116,17,1023,437,3
133,17,1040,526,0
150,17,1049,697,0
166,17,1034,657,0
183,17,1029,706,0
200,17,1035,712,0
216,17,1036,687,0
233,17,1030,694,0
250,17,1023,694,3
266,17,1027,678,0
283,17,1022,705,3
299,17,1029,677,0
316,17,1031,698,0
333,17,1023,700,3
349,17,1028,705,0
366,17,1033,701,0
383,17,1021,711,3
399,17,1056,731,0
416,17,1034,724,0
433,17,1042,759,0
449,17,1032,742,0
466,17,1032,742,0
482,17,1022,738,3
499,17,1033,755,0
516,17,1030,738,0
532,17,1032,734,0
549,17,1030,733,0
566,17,1034,738,0
582,17,1037,751,0
599,17,1042,735,0
615,17,1036,747,0
632,17,1035,746,0
649,17,1039,756,0
665,17,1030,750,0
682,17,1038,748,0
699,17,1027,742,0
715,17,937,768,0
732,17,810,760,3
749,17,660,786,0
765,17,608,835,0
782,17,610,834,0
798,17,639,858,0
815,17,613,834,0
832,17,645,859,0
848,17,614,839,0
865,17,612,824,0
882,17,609,841,0
898,17,606,831,0
915,17,610,822,0
932,17,616,819,0
948,17,606,854,0
965,17,614,826,0
981,17,607,824,0
998,17,609,825,0
1015,17,603,839,0
1031,17,614,830,0
1048,17,613,825,0
1065,17,586,771,0
1081,17,545,550,3
1098,17,533,361,4
1115,17,525,175,1
1131,17,538,94,0
1148,17,539,104,0
1164,17,534,105,0
1181,17,536,90,0
1198,17,527,86,0
1214,17,529,92,0
1414,200,507,125,0
1431,17,502,188,1
1447,17,490,165,1
1464,17,493,200,1
1481,17,493,168,1
1497,17,487,180,1
1514,17,487,173,1
1530,17,481,176,1
1547,17,493,193,1
1564,17,493,155,1
1580,17,483,173,1
1597,17,490,184,1
1614,17,482,180,1
1630,17,485,173,1
1647,17,483,162,1
1664,17,482,178,1
1680,17,535,229,1
1697,17,544,194,1
1713,17,555,204,1
1730,17,549,208,1
1747,17,549,230,1
1763,17,548,219,1
1780,17,548,201,1
1797,17,550,216,1
1813,17,556,209,1
1830,17,547,207,1
1846,17,550,221,1
1863,17,546,192,1
1880,17,543,208,1
1896,17,548,215,1
1913,17,547,217,1
1930,17,546,211,1
1946,17,503,340,4
2046,100,381,526,3
2063,17,347,285,0
2079,17,350,194,1
2096,17,349,200,1
2113,17,349,206,1
2129,17,355,205,1
2146,17,349,239,1
2163,17,376,322,0
2179,17,341,209,1
2196,17,347,188,1
2212,17,347,209,1
2229,17,344,203,1
2246,17,349,206,1
2262,17,342,198,1
2279,17,352,197,1
2296,17,337,185,1
2312,17,389,215,1
2329,17,452,195,1
2346,17,461,187,1
2362,17,474,214,1
2379,17,461,208,1
2395,17,470,204,1
2412,17,475,233,1
2429,17,473,196,1
2445,17,471,198,1
2462,17,472,215,1
2479,17,466,223,1
2495,17,472,209,1
2512,17,465,202,1
2529,17,470,207,1
