Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,1029,810,0
17,17,1019,785,0
33,17,1029,650,0
50,17,1035,444,0
67,17,1003,183,0
83,17,979,75,0
150,67,969,10,0
166,17,979,41,0
183,17,959,24,0
200,17,975,18,0
250,50,899,110,0
266,17,840,545,3
283,17,854,323,0
316,33,886,223,0
333,17,911,81,0
349,17,892,133,0
366,17,886,131,0
383,17,848,390,0
399,17,875,241,0
416,17,896,120,0
433,17,874,246,0
449,17,872,248,0
482,33,840,423,3
499,17,883,214,0
532,33,852,320,0
549,17,888,211,0
566,17,902,113,0
582,17,858,393,0
599,17,877,189,0
615,17,827,521,3
632,17,852,428,3
649,17,844,557,3
682,33,891,194,0
699,17,910,64,0
715,17,882,22,0
732,17,808,67,0
749,17,720,161,1
765,17,643,226,1
782,17,566,295,4
798,17,590,277,0
815,17,574,278,0
832,17,577,270,0
848,17,573,304,4
865,17,569,300,4
882,17,578,300,4
898,17,572,264,0
915,17,557,325,4
932,17,562,250,1
948,17,562,273,0
965,17,571,302,4
981,17,556,284,0
998,17,545,345,4
1015,17,521,510,3
1031,17,495,710,3
1048,17,491,753,3
1065,17,486,772,0
1081,17,509,745,3
1098,17,487,759,3
1115,17,496,759,3
1131,17,483,733,3
1148,17,488,762,3
1164,17,500,757,3
1181,17,489,754,3
1198,17,493,744,3
1214,17,493,742,3
1231,17,494,752,3
1248,17,484,772,0
1264,17,488,822,0
1281,17,481,775,0
1298,17,490,767,0
1314,17,488,725,3
1331,17,490,557,3
1347,17,506,436,3
1364,17,515,434,3
1381,17,509,446,3
1397,17,510,428,3
1414,17,500,438,3
1431,17,517,425,3
1447,17,515,425,3
1464,17,517,452,3
1481,17,515,442,3
1497,17,514,464,3
1514,17,495,445,3
1530,17,473,399,2
1547,17,467,405,2
1564,17,470,394,2
1580,17,472,420,3
1630,50,475,435,3
1647,17,477,341,4
1664,17,477,396,2
1680,17,475,358,4
1697,17,482,367,2
1713,17,505,352,4
1730,17,567,369,2
1747,17,610,356,4
1763,17,606,344,4
1780,17,614,403,2
1797,17,617,303,0
1813,17,618,331,0
1830,17,620,361,0
1846,17,623,348,0
1863,17,626,316,0
1880,17,618,359,0
1896,17,610,372,2
1913,17,612,332,4
1930,17,611,400,2
1946,17,618,355,0
1963,17,621,363,0
1980,17,619,303,0
1996,17,615,312,0
2013,17,611,350,4
2029,17,608,350,4
2046,17,604,353,4
2063,17,601,317,4
2079,17,596,368,2
2096,17,603,346,4
2113,17,603,327,4
2129,17,603,364,4
2146,17,593,367,2
2163,17,609,347,4
2179,17,605,324,4
2196,17,594,357,4
2212,17,589,370,2
2229,17,598,325,4
2246,17,598,309,4
2262,17,606,344,4
2279,17,589,338,4
2296,17,566,357,4
2312,17,576,355,4
2329,17,577,299,4
2346,17,566,357,4
2362,17,570,339,4
2379,17,568,334,4
2395,17,566,362,4
2412,17,563,318,4
2429,17,569,357,4
2445,17,568,345,4
2462,17,562,364,4
2479,17,558,377,2
2495,17,563,374,2
2512,17,553,354,4
2529,17,548,373,2
2545,17,569,349,4
2562,17,565,367,2
2578,17,570,335,4
2595,17,554,386,2
2612,17,558,385,2
2628,17,565,366,2
2645,17,560,360,4
2662,17,559,379,2
2678,17,554,351,4
2695,17,556,376,2
2712,17,556,381,2
2728,17,551,382,2
2745,17,551,380,2
2761,17,549,384,2
2778,17,545,379,2
2795,17,553,398,2
2811,17,559,385,2
2828,17,561,360,4
2845,17,562,355,4
2861,17,558,399,2
2878,17,563,383,2
2894,17,562,355,4
2911,17,565,315,4
2928,17,558,362,4
2944,17,543,386,2
2961,17,550,368,2
2978,17,550,381,2
2994,17,558,335,4
3011,17,551,396,2
3028,17,558,352,4
3044,17,552,375,2
3061,17,546,399,2
3077,17,560,364,4
3094,17,562,353,4
3144,50,555,358,4
3161,17,562,369,2
3177,17,562,335,4
3194,17,554,385,2
3211,17,558,372,2
3227,17,563,357,4
3244,17,564,381,2
3260,17,561,361,4
3277,17,569,331,4
3294,17,568,375,2
3310,17,563,376,2
3327,17,567,342,4
3344,17,558,348,4
3360,17,570,384,2
3377,17,550,395,2
3394,17,563,359,4
3410,17,558,381,2
3427,17,558,380,2
3460,33,567,378,2
3477,17,567,410,2
3493,17,566,375,2
3510,17,576,408,2
3543,33,566,384,2
3560,17,568,383,2
3577,17,559,400,2
3593,17,566,367,2
3610,17,564,383,2
3626,17,559,376,2
3643,17,559,397,2
3660,17,575,404,2
3676,17,575,378,2
3693,17,561,387,2
3710,17,556,408,2
3726,17,558,424,3
3909,183,528,478,3
3926,17,530,335,4
3943,17,536,343,4
3959,17,521,377,2
3976,17,519,385,2
3992,17,531,329,4
4009,17,526,364,4
4026,17,523,351,4
4042,17,526,372,2
4059,17,523,373,2
4076,17,516,356,4
4092,17,517,323,4
4109,17,514,324,4
4125,17,520,323,4
4142,17,513,359,4
4159,17,510,331,4
4175,17,508,349,4
4192,17,517,342,4
4209,17,516,345,4
4225,17,512,353,4
4242,17,510,373,2
4259,17,511,333,4
4275,17,513,355,4
4292,17,516,363,4
4308,17,517,373,2
4325,17,516,369,2
