Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,1048,785,0
17,17,1053,784,0
33,17,1050,782,0
50,17,1051,752,0
67,17,1050,781,0
83,17,1050,788,0
100,17,1049,789,0
116,17,1046,788,0
133,17,1048,785,0
150,17,1045,786,0
166,17,1052,782,0
183,17,1052,785,0
200,17,1047,792,0
216,17,1049,783,0
233,17,1034,672,0
250,17,1031,763,0
482,233,728,487,3
499,17,461,508,3
516,17,489,389,2
532,17,486,381,2
549,17,491,412,2
566,17,492,414,2
582,17,488,397,2
599,17,492,417,5
615,17,487,396,2
632,17,489,414,2
649,17,491,403,2
665,17,491,421,5
682,17,490,409,2
699,17,492,404,2
715,17,496,420,5
765,50,494,400,2
782,17,498,413,2
798,17,497,414,2
815,17,621,451,3
832,17,739,542,3
848,17,844,590,3
865,17,895,620,3
882,17,890,617,3
898,17,899,626,3
915,17,894,623,3
932,17,897,627,3
948,17,898,624,3
965,17,898,627,3
981,17,900,635,3
998,17,901,637,3
1015,17,905,634,3
1031,17,896,631,3
1048,17,1003,728,3
1065,17,1032,751,0
1081,17,1016,708,3
1098,17,1035,763,0
1115,17,1033,766,0
1131,17,1036,764,0
1148,17,1031,771,0
1164,17,1035,770,0
1181,17,1038,772,0
1198,17,1037,770,0
1214,17,1037,759,0
1231,17,1032,760,0
1248,17,1038,773,0
1264,17,1037,766,0
1281,17,1039,774,0
1298,17,1035,769,0
1314,17,1035,771,0
1331,17,1039,768,0
1347,17,924,681,3
1364,17,748,560,3
1381,17,587,481,3
1397,17,510,389,2
1414,17,522,385,2
1431,17,513,377,2
1447,17,519,383,2
1464,17,521,393,2
1481,17,517,357,4
1497,17,519,377,2
1514,17,521,372,2
1530,17,518,360,4
1547,17,529,368,2
1564,17,526,354,4
1580,17,525,360,4
1597,17,528,354,4
1614,17,522,357,4
1630,17,478,350,4
1647,17,481,333,4
1664,17,472,368,2
1680,17,469,363,4
1697,17,469,349,4
1713,17,477,352,4
1730,17,477,346,4
1747,17,482,353,4
1763,17,477,351,4
1780,17,471,357,4
1797,17,483,358,4
1813,17,476,361,4
1830,17,474,354,4
1846,17,467,354,4
1863,17,476,351,4
1880,17,469,367,2
1896,17,449,362,4
1913,17,424,358,4
1930,17,427,362,4
1946,17,419,340,4
1963,17,416,350,4
1980,17,416,346,4
1996,17,431,345,4
2013,17,427,357,4
2029,17,410,357,0
2046,17,420,343,4
2063,17,424,327,4
2079,17,417,350,4
2096,17,420,354,4
2113,17,430,360,4
2129,17,417,352,4
2146,17,417,360,4
2163,17,422,350,4
2179,17,426,345,4
2196,17,406,350,0
2212,17,415,343,0
2229,17,412,339,0
2246,17,421,348,4
2262,17,411,337,0
2279,17,433,335,4
2296,17,529,354,4
2312,17,539,375,2
2329,17,540,368,2
2346,17,536,335,4
2362,17,544,350,4
2379,17,544,353,4
2395,17,544,346,4
2412,17,542,343,4
2429,17,544,345,4
2445,17,543,344,4
2462,17,541,353,4
2479,17,547,356,4
2495,17,545,332,4
2512,17,540,334,4
2529,17,543,333,4
2545,17,544,340,4
2562,17,548,358,4
2578,17,542,345,4
2595,17,548,353,4
2612,17,549,351,4
2628,17,542,349,4
2645,17,544,362,4
2662,17,544,347,4
2678,17,543,367,2
2695,17,550,359,4
2712,17,546,350,4
2728,17,545,359,4
2745,17,543,366,2
2761,17,543,368,2
2778,17,543,356,4
2795,17,540,360,4
2811,17,547,372,2
2828,17,548,362,4
2845,17,547,358,4
2944,100,575,563,3
2961,17,547,266,0
2978,17,553,363,4
2994,17,551,348,4
3011,17,550,352,4
3028,17,553,348,4
3044,17,554,347,4
3061,17,545,345,4
3077,17,552,354,4
3094,17,562,361,4
3111,17,547,375,2
3144,33,548,351,4
3161,17,544,362,4
3177,17,541,366,2
3194,17,544,365,2
3211,17,567,361,4
3227,17,540,352,4
3244,17,541,368,2
3260,17,540,370,2
3277,17,543,360,4
3294,17,540,365,2
3310,17,543,366,2
3327,17,538,358,4
3344,17,543,364,4
3360,17,539,363,4
3377,17,544,359,4
3394,17,541,362,4
3410,17,538,358,4
3427,17,505,328,4
3443,17,510,321,4
3460,17,508,341,4
3477,17,512,344,4
3493,17,509,315,4
3510,17,510,334,4
3527,17,514,316,4
3543,17,509,334,4
3560,17,507,347,4
3577,17,510,348,4
3593,17,509,333,4
3610,17,508,334,4
3626,17,509,321,4
3643,17,513,337,4
3660,17,513,342,4
3676,17,511,343,4
3693,17,489,352,4
3710,17,487,336,4
3726,17,485,322,4
3743,17,488,330,4
3760,17,488,340,4
3776,17,487,337,4
3793,17,485,321,4
3809,17,484,313,4
3826,17,489,332,4
3843,17,485,346,4
3859,17,484,349,4
3876,17,485,327,4
3893,17,492,338,4
3909,17,483,337,4
3926,17,484,345,4
3943,17,489,352,4
3959,17,487,337,4
3976,17,493,336,4
3992,17,492,339,4
4009,17,485,348,4
4026,17,491,344,4
4042,17,491,338,4
4059,17,493,356,4
4076,17,486,366,2
4092,17,549,457,3
4109,17,683,850,0
4408,299,476,713,3
4442,33,554,493,3
4458,17,564,545,3
4475,17,549,438,3
4491,17,564,489,3
4508,17,563,559,3
4525,17,567,557,3
4541,17,565,569,3
4558,17,566,578,3
4575,17,564,583,3
4591,17,568,572,3
4608,17,555,429,3
4625,17,594,616,3
4641,17,596,852,0
4691,50,628,1016,0
4708,17,626,378,2
4891,183,545,704,3
4907,17,523,348,4
4924,17,528,350,4
4941,17,528,364,4
4957,17,528,363,4
4974,17,529,368,2
4991,17,532,353,4
5007,17,529,357,4
5024,17,526,364,4
5040,17,530,367,2
5057,17,528,352,4
5074,17,517,345,4
5090,17,489,359,4
5107,17,492,376,2
5124,17,489,344,4
