Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,543,812,0
17,17,554,884,0
33,17,514,934,0
50,17,517,962,0
67,17,517,990,0
83,17,531,889,0
100,17,546,1004,0
116,17,460,891,0
133,17,513,1014,0
150,17,496,1020,0
166,17,524,821,0
183,17,454,888,0
200,17,522,845,0
216,17,536,907,0
233,17,524,827,0
250,17,429,946,0
266,17,522,901,0
283,17,520,823,0
299,17,529,972,0
316,17,529,989,0
333,17,526,914,0
349,17,429,884,0
366,17,518,871,0
383,17,520,890,0
399,17,539,972,0
416,17,467,966,0
433,17,474,979,0
449,17,477,990,0
466,17,476,1002,0
482,17,527,841,0
499,17,520,847,0
516,17,475,922,0
532,17,479,947,0
549,17,525,904,0
566,17,518,821,0
582,17,482,835,0
599,17,528,852,0
615,17,523,867,0
632,17,515,950,0
649,17,565,955,0
665,17,512,1002,0
682,17,541,969,0
699,17,537,985,0
715,17,514,1018,0
732,17,533,1036,0
749,17,577,886,0
765,17,524,935,0
782,17,521,957,0
798,17,517,970,0
815,17,516,992,0
832,17,516,1008,0
848,17,520,1026,0
865,17,520,918,0
882,17,484,893,0
898,17,523,862,0
915,17,491,971,0
932,17,516,853,0
948,17,474,1002,0
965,17,519,834,0
981,17,451,1005,0
998,17,445,899,0
1015,17,516,987,0
1031,17,502,986,0
1048,17,500,987,0
1065,17,519,852,0
1081,17,517,829,0
1098,17,520,852,0
1115,17,438,984,0
1131,17,534,847,0
1148,17,513,836,0
1164,17,437,1028,0
1181,17,473,984,0
1198,17,534,1044,0
1214,17,461,990,0
1231,17,521,871,0
1248,17,513,865,0
1298,50,483,963,0
1347,50,544,1057,0
1414,67,533,1029,0
1431,17,546,1045,0
1614,183,561,1074,0
1630,17,527,1048,0
1647,17,500,1007,0
1664,17,488,975,0
1680,17,472,929,0
1697,17,600,892,0
1713,17,602,937,0
1730,17,553,1004,0
1747,17,540,923,0
1763,17,562,904,0
1780,17,583,877,0
1797,17,564,967,0
1813,17,586,997,0
1830,17,492,901,0
1846,17,520,950,0
1863,17,553,1013,0
1880,17,562,865,0
1896,17,511,997,0
1913,17,578,870,0
1930,17,555,836,0
1946,17,510,1009,0
1963,17,557,845,0
1980,17,575,886,0
1996,17,496,887,0
2013,17,531,947,0
2029,17,571,1005,0
2046,17,547,871,0
2063,17,558,811,0
2079,17,466,872,0
2096,17,587,877,0
2113,17,564,853,0
2129,17,481,1033,0
2146,17,541,833,0
2163,17,540,834,0
2179,17,544,834,0
2196,17,552,825,0
2212,17,479,944,0
2229,17,541,835,0
2246,17,465,978,0
2262,17,504,927,0
2279,17,549,753,3
2296,17,489,969,0
2312,17,526,909,0
2329,17,580,866,0
2346,17,505,932,0
2362,17,544,1000,0
2379,17,539,833,0
2395,17,531,806,0
2412,17,542,978,0
2429,17,468,947,0
2445,17,512,810,0
2462,17,521,1035,0
2479,17,538,801,0
2495,17,559,982,0
2512,17,529,832,0
2529,17,491,950,0
2545,17,510,843,0
2562,17,467,916,0
2578,17,490,1038,0
2595,17,508,800,0
2612,17,507,847,0
2628,17,446,1005,0
2645,17,466,995,0
2662,17,507,845,0
2678,17,505,984,0
2695,17,522,984,0
2712,17,536,984,0
2728,17,452,997,0
2745,17,467,995,0
2761,17,481,992,0
2778,17,497,982,0
2795,17,508,965,0
2811,17,519,946,0
2828,17,429,925,0
2845,17,536,899,0
2861,17,545,875,0
2878,17,516,857,0
2894,17,470,980,0
2911,17,474,965,0
2928,17,482,950,0
2944,17,493,936,0
2961,17,514,883,0
2978,17,509,864,0
2994,17,497,914,0
3011,17,576,881,0
3028,17,579,876,0
3044,17,587,847,0
3061,17,582,848,0
3077,17,578,891,0
3094,17,589,858,0
3111,17,575,788,0
3127,17,601,875,0
3144,17,586,867,0
3161,17,576,817,0
3177,17,579,868,0
3194,17,523,998,0
3211,17,573,803,0
3227,17,580,866,0
3244,17,491,868,0
3260,17,542,904,0
3277,17,544,875,0
3294,17,579,859,0
3310,17,577,877,0
3327,17,542,913,0
3344,17,545,910,0
3360,17,537,928,0
3377,17,507,856,0
3394,17,525,882,0
3410,17,536,882,0
3427,17,523,824,0
3443,17,527,886,0
3460,17,517,881,0
3477,17,525,882,0
3493,17,488,891,0
3510,17,519,866,0
3527,17,520,872,0
3543,17,512,874,0
3560,17,515,874,0
3577,17,424,878,0
3593,17,479,896,0
3610,17,506,873,0
3626,17,470,881,0
3643,17,466,876,0
3660,17,458,865,0
3676,17,506,882,0
3693,17,514,885,0
3710,17,478,879,0
3726,17,436,938,0
3743,17,499,866,0
3760,17,488,896,0
3776,17,488,895,0
3793,17,489,889,0
3809,17,435,930,0
3826,17,493,889,0
3843,17,502,863,0
3859,17,496,889,0
