Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,441,480,3
17,17,442,492,3
33,17,443,503,3
50,17,451,488,3
67,17,447,481,3
83,17,439,492,3
100,17,443,494,3
116,17,490,615,3
133,17,546,683,3
150,17,607,775,0
166,17,643,801,0
183,17,626,759,3
200,17,614,729,3
216,17,629,769,0
233,17,631,810,0
250,17,618,933,0
266,17,626,781,0
283,17,644,761,3
299,17,642,758,3
316,17,642,768,0
333,17,633,796,0
349,17,623,756,3
366,17,625,783,0
383,17,618,790,0
399,17,621,788,0
416,17,615,780,0
433,17,639,776,0
449,17,650,772,0
466,17,586,829,0
482,17,507,866,0
499,17,446,890,0
516,17,491,880,0
532,17,479,876,0
549,17,476,882,0
566,17,458,853,0
582,17,481,878,0
599,17,484,892,0
615,17,472,891,0
632,17,476,904,0
649,17,470,897,0
665,17,467,891,0
682,17,475,885,0
699,17,484,883,0
715,17,488,895,0
732,17,487,861,0
749,17,489,808,0
765,17,526,756,3
782,17,525,792,0
798,17,515,776,0
815,17,508,765,3
832,17,495,779,0
848,17,505,775,0
865,17,509,777,0
882,17,519,775,0
898,17,525,784,0
915,17,508,761,3
932,17,476,581,3
948,17,448,415,2
965,17,443,347,4
981,17,436,411,2
998,17,439,519,3
1015,17,438,516,3
1031,17,453,505,3
1048,17,438,532,3
1065,17,441,532,3
1081,17,435,544,3
1098,17,441,532,3
1115,17,445,533,3
1131,17,435,531,3
1148,17,443,522,3
1164,17,438,523,3
1181,17,441,514,3
1198,17,437,526,3
1214,17,448,530,3
1231,17,440,507,3
1248,17,426,521,3
1264,17,434,541,3
1281,17,431,534,3
1298,17,430,536,3
1314,17,444,509,3
1331,17,487,442,3
1347,17,509,418,5
1364,17,499,431,3
1381,17,510,404,2
1397,17,503,437,3
1414,17,506,421,5
1431,17,513,447,3
1447,17,509,437,3
1464,17,508,424,3
1481,17,505,440,3
1497,17,476,424,3
1514,17,477,443,3
1530,17,463,406,2
1547,17,465,408,2
1564,17,466,407,2
1580,17,487,387,2
1597,17,477,388,2
1614,17,457,373,2
1630,17,471,383,2
1647,17,474,388,2
1664,17,571,385,2
1680,17,630,360,0
1697,17,634,348,0
1713,17,632,346,0
1730,17,632,340,0
1747,17,624,331,0
1763,17,625,360,0
1780,17,630,352,0
1797,17,629,329,0
1813,17,626,335,0
1830,17,632,339,0
1846,17,628,324,0
1863,17,632,349,0
1880,17,614,318,0
1896,17,607,328,4
1913,17,603,317,4
1930,17,601,317,4
1946,17,598,329,4
1963,17,602,332,4
1980,17,598,336,4
1996,17,596,344,4
2013,17,598,348,4
2029,17,601,341,4
2046,17,598,339,4
2063,17,599,343,4
2079,17,594,343,4
2096,17,592,324,4
2113,17,597,321,4
2129,17,606,330,4
2146,17,600,316,4
2163,17,615,322,0
2179,17,603,326,4
2196,17,603,340,4
2212,17,601,332,4
2229,17,600,338,4
2246,17,599,327,4
2262,17,602,336,4
2279,17,594,323,4
2296,17,599,333,4
2312,17,578,319,4
2329,17,573,308,4
2346,17,575,312,4
2362,17,574,320,4
2379,17,575,338,4
2395,17,571,334,4
2412,17,572,322,4
2429,17,571,337,4
2445,17,575,311,4
2462,17,575,333,4
2479,17,575,322,4
2495,17,575,327,4
2512,17,574,354,4
2529,17,575,329,4
2545,17,568,349,4
2562,17,572,342,4
2578,17,572,323,4
2595,17,576,318,4
2612,17,559,310,4
2628,17,558,322,4
2645,17,560,318,4
2662,17,568,337,4
2678,17,563,301,4
2695,17,558,321,4
2712,17,568,339,4
2728,17,559,331,4
2745,17,564,347,4
2761,17,563,348,4
2778,17,560,353,4
2795,17,559,352,4
2811,17,558,344,4
2828,17,558,351,4
2845,17,549,352,4
2861,17,548,312,4
2878,17,551,298,4
2894,17,549,301,4
2911,17,542,316,4
2928,17,543,303,4
2944,17,545,317,4
2961,17,546,309,4
2978,17,548,343,4
2994,17,542,316,4
3011,17,546,331,4
3028,17,542,319,4
3044,17,542,308,4
3061,17,549,324,4
3077,17,548,337,4
3094,17,544,312,4
3111,17,519,399,2
3127,17,458,328,4
3144,17,467,326,4
3161,17,464,323,4
3177,17,474,345,4
3194,17,469,347,4
3211,17,475,356,4
3227,17,463,352,4
3244,17,470,347,4
3260,17,513,391,2
3277,17,529,374,2
3294,17,518,379,2
3310,17,509,386,2
3327,17,515,377,2
3344,17,482,340,4
3360,17,525,326,4
3377,17,521,347,4
3394,17,508,349,4
3410,17,515,326,4
3427,17,522,330,4
3443,17,513,338,4
3460,17,510,356,4
3477,17,515,343,4
3493,17,514,336,4
3510,17,517,308,4
3527,17,509,337,4
3543,17,521,325,4
3560,17,516,347,4
3577,17,517,367,2
3593,17,506,342,4
3610,17,519,350,4
3626,17,517,336,4
3643,17,512,365,2
3660,17,519,347,4
3676,17,516,356,4
3693,17,509,353,4
3710,17,513,350,4
3726,17,493,348,4
3760,33,509,357,4
3760,0,509,357,4
3776,17,514,395,2
3793,17,516,372,2
3809,17,507,389,2
3826,17,514,371,2
3859,33,506,380,2
3859,0,506,380,2
3876,17,506,376,2
3893,17,519,373,2
3909,17,511,374,2
