Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,579,676,3
17,17,587,691,3
33,17,586,677,3
50,17,595,672,3
67,17,589,672,3
83,17,587,654,3
100,17,565,517,3
116,17,581,674,3
133,17,565,524,3
150,17,566,514,3
166,17,566,541,3
183,17,563,511,3
200,17,645,664,3
216,17,730,642,3
233,17,802,616,3
250,17,803,560,3
266,17,822,580,3
283,17,802,516,3
299,17,808,602,3
316,17,930,316,0
349,33,847,668,3
366,17,838,780,0
383,17,843,786,0
632,250,887,173,0
998,366,774,302,0
1031,33,663,21,0
1048,17,553,83,0
1065,17,560,81,0
1081,17,542,111,0
1098,17,538,90,0
1115,17,535,56,0
1131,17,535,68,0
1148,17,538,142,1
1164,17,539,110,0
1181,17,534,68,0
1198,17,536,54,0
1214,17,492,351,4
1231,17,484,358,4
1248,17,481,358,4
1264,17,483,397,2
1281,17,484,403,2
1298,17,484,333,4
1314,17,484,361,4
1331,17,486,344,4
1347,17,485,380,2
1364,17,489,333,4
1381,17,489,349,4
1397,17,489,338,4
1414,17,490,298,4
1431,17,490,344,4
1447,17,442,312,4
1464,17,486,333,4
1481,17,492,286,0
1497,17,491,313,4
1514,17,485,302,4
1547,33,422,267,0
1564,17,426,299,4
1580,17,424,323,4
1597,17,425,259,1
1614,17,423,264,0
1630,17,423,222,1
1647,17,422,243,1
1664,17,425,260,0
1680,17,425,260,0
1697,17,427,289,4
1713,17,428,309,4
1730,17,429,281,0
1747,17,430,307,4
1763,17,426,273,0
1780,17,433,246,1
1797,17,428,239,1
1813,17,432,264,0
1830,17,481,281,0
1846,17,480,278,0
1863,17,482,275,0
1880,17,477,280,0
1896,17,479,233,1
1913,17,478,266,0
1930,17,480,248,1
1946,17,478,287,0
1963,17,478,290,4
1980,17,479,267,0
1996,17,476,280,0
2013,17,481,240,1
2029,17,542,255,1
2046,17,540,272,0
2063,17,546,251,1
2079,17,531,226,1
2096,17,531,199,1
2113,17,529,208,1
2129,17,528,225,1
2146,17,534,234,1
2163,17,533,211,1
2179,17,533,243,1
2196,17,539,245,1
2212,17,541,240,1
2229,17,535,240,1
2246,17,533,235,1
2262,17,534,174,1
2279,17,533,197,1
2296,17,528,219,1
2312,17,530,243,1
2329,17,526,235,1
2346,17,528,260,0
2362,17,530,222,1
2379,17,531,236,1
2395,17,533,227,1
2412,17,539,293,4
2429,17,539,306,4
2445,17,538,313,4
2462,17,540,291,4
2479,17,536,287,0
2495,17,541,300,4
2512,17,539,268,0
2529,17,532,241,1
2545,17,537,267,0
2562,17,542,305,4
2578,17,541,234,1
2595,17,541,291,4
2612,17,544,316,4
2628,17,539,318,4
2645,17,549,332,4
