Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,534,872,0
17,17,536,870,0
33,17,538,875,0
50,17,532,873,0
67,17,533,876,0
83,17,533,876,0
100,17,531,876,0
116,17,531,878,0
133,17,530,879,0
150,17,531,871,0
166,17,463,899,0
183,17,463,903,0
200,17,459,904,0
216,17,461,900,0
233,17,456,903,0
250,17,462,902,0
266,17,459,905,0
283,17,462,905,0
299,17,459,903,0
316,17,462,908,0
333,17,456,911,0
349,17,452,906,0
366,17,475,906,0
383,17,474,913,0
399,17,467,914,0
416,17,468,904,0
433,17,469,914,0
449,17,475,909,0
466,17,474,909,0
482,17,474,908,0
499,17,473,902,0
516,17,471,914,0
532,17,470,913,0
549,17,393,887,0
566,17,472,915,0
582,17,471,916,0
599,17,468,914,0
615,17,473,912,0
632,17,474,916,0
649,17,482,912,0
665,17,609,865,0
682,17,746,821,0
699,17,865,787,0
715,17,974,760,3
732,17,1042,762,0
749,17,1037,760,0
765,17,1033,756,0
782,17,1034,756,0
798,17,1033,755,0
815,17,1040,747,0
832,17,1036,755,0
848,17,1034,761,0
865,17,1035,758,0
882,17,1037,758,0
898,17,1032,765,0
915,17,1037,765,0
932,17,1064,740,0
948,17,1060,741,0
965,17,1060,744,0
981,17,1063,750,0
998,17,1061,750,0
1015,17,1057,744,0
1031,17,1053,739,0
1048,17,1061,745,0
1065,17,1067,747,0
1081,17,1067,744,0
1098,17,1050,739,0
1115,17,1063,742,0
1131,17,1061,742,0
1148,17,1057,751,0
1164,17,1057,761,0
1181,17,1054,750,0
1198,17,1053,749,0
1214,17,1063,742,0
1231,17,1056,740,0
1248,17,1058,750,0
1264,17,1055,729,0
1281,17,1052,754,0
1298,17,1061,747,0
1314,17,1055,755,0
1331,17,1064,743,0
1347,17,1047,752,0
1364,17,919,678,3
1381,17,768,613,3
1397,17,657,556,3
1414,17,528,444,3
1431,17,476,385,2
1447,17,467,319,4
1464,17,478,476,3
1481,17,483,471,3
1497,17,490,471,3
1514,17,471,475,3
1530,17,485,477,3
1547,17,482,469,3
1564,17,484,472,3
1580,17,492,458,3
1597,17,516,411,2
1614,17,548,381,2
1630,17,546,377,2
1647,17,547,378,2
1664,17,545,388,2
1680,17,553,371,2
1697,17,556,379,2
1713,17,564,369,2
1730,17,558,386,2
1747,17,551,386,2
1763,17,559,375,2
1780,17,591,338,4
1797,17,622,349,0
1813,17,641,353,0
1830,17,649,327,0
1846,17,644,361,0
1863,17,645,340,0
1880,17,644,349,0
1896,17,649,350,0
1913,17,647,328,0
1930,17,649,352,0
1946,17,604,357,4
1963,17,491,333,4
1980,17,424,347,4
1996,17,414,353,0
2013,17,421,341,4
2029,17,422,340,4
2046,17,425,338,4
2063,17,416,339,4
2079,17,416,323,4
2096,17,416,332,4
2113,17,420,348,4
2129,17,417,339,4
2146,17,420,327,4
2163,17,422,346,4
2179,17,417,333,4
2196,17,428,334,4
2212,17,416,342,4
2229,17,422,338,4
2246,17,415,343,0
2262,17,425,353,4
2279,17,422,355,4
2296,17,485,375,2
2312,17,531,373,2
2329,17,540,367,2
2346,17,544,360,4
2362,17,541,365,2
2379,17,553,384,2
2395,17,547,373,2
2412,17,550,359,4
2429,17,546,355,4
2445,17,546,365,2
2462,17,547,354,4
2479,17,544,375,2
2495,17,543,381,2
2512,17,549,389,2
2529,17,547,384,2
2545,17,539,375,2
2562,17,543,398,2
2578,17,543,378,2
2595,17,540,395,2
2612,17,538,385,2
2628,17,543,381,2
2645,17,549,383,2
2662,17,545,389,2
2678,17,546,387,2
2695,17,540,377,2
2712,17,543,385,2
2728,17,550,394,2
2745,17,546,399,2
2761,17,543,406,2
2778,17,532,422,3
2795,17,537,387,2
2811,17,539,397,2
2828,17,542,397,2
2845,17,534,405,2
2861,17,545,417,5
2878,17,549,377,2
2894,17,560,383,2
2911,17,568,381,2
2928,17,558,379,2
2944,17,565,389,2
2961,17,565,365,2
2978,17,562,374,2
2994,17,559,369,2
3011,17,568,366,2
3028,17,572,373,2
3044,17,564,376,2
3061,17,568,363,4
3077,17,568,363,4
3094,17,562,381,2
3111,17,557,380,2
3127,17,553,367,2
3144,17,561,371,2
3161,17,558,371,2
3177,17,556,381,2
3194,17,556,400,2
3211,17,557,370,2
3227,17,564,383,2
3244,17,563,383,2
3260,17,559,375,2
3277,17,559,401,2
3294,17,561,381,2
3310,17,554,382,2
3327,17,561,380,2
3344,17,560,384,2
3360,17,554,383,2
3377,17,566,367,2
3394,17,563,399,2
3410,17,563,376,2
3427,17,554,383,2
3443,17,561,381,2
3460,17,550,390,2
3477,17,567,389,2
3493,17,558,387,2
3510,17,565,391,2
3527,17,563,396,2
3543,17,565,374,2
3560,17,565,363,4
3577,17,569,367,2
3593,17,564,373,2
3610,17,568,366,2
3626,17,563,388,2
3643,17,558,364,4
3660,17,562,391,2
3676,17,565,377,2
3693,17,561,365,2
3710,17,580,368,2
3726,17,591,355,4
3743,17,593,365,2
3760,17,588,355,4
3776,17,594,357,4
3793,17,591,344,4
3809,17,595,355,4
3826,17,597,362,4
3843,17,598,339,4
3859,17,591,327,4
3876,17,586,370,2
3893,17,590,333,4
3909,17,594,367,2
3926,17,599,350,4
3943,17,595,346,4
3959,17,594,341,4
3976,17,597,342,4
3992,17,592,348,4
4009,17,543,378,2
4026,17,507,364,4
4042,17,507,349,4
4059,17,502,363,4
4076,17,516,348,4
4092,17,504,352,4
4109,17,499,353,4
4125,17,502,347,4
4142,17,505,345,4
4159,17,503,350,4
4175,17,506,369,2
4192,17,503,336,4
